-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,enemy_solid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,goal world_3/level_1/level_1,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,slope_left_top,solid_top_right,jump_through_platform_left,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform,jump_through_platform_right,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,slope_left,solid_slopecornerleft,solid_right,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,slope_left,solid_slopecornerleft,solid,solid_right,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,enemy_solid
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,enemy_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,solid_top_bottom_left,solid_top_bottom,solid_top_bottom,solid_topleftcorner_bottom,solid_bottom,solid_bottom,solid_bottom_right,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,bullet_solid,enemy_solid
